rok;mc_ic;mc_nazev;odpa;pol;uz;nazev_odpa;nazev_pol;nazev_zdroj;rozpocet_schvaleny;rozpocet_upraveny;cerpani;
2025;00063410;HMP-MČ PRAHA 1;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;171971.30;171971.30;36674.30;
2025;00063410;HMP-MČ PRAHA 1;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1641.00;0.00;
2025;00063461;HMP-MČ PRAHA 2;006330;4137;000013010;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;49.90;
2025;00063461;HMP-MČ PRAHA 2;006330;4137;000013015;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;3.44;
2025;00063461;HMP-MČ PRAHA 2;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;273870.10;273870.10;61048.40;
2025;00063461;HMP-MČ PRAHA 2;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;234.00;0.00;
2025;00063461;HMP-MČ PRAHA 2;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;15880.00;0.00;
2025;00063517;HMP-MČ PRAHA  3;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;416709.70;416709.70;94369.00;
2025;00063517;HMP-MČ PRAHA  3;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1850.00;0.00;
2025;00063517;HMP-MČ PRAHA  3;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;28179.00;0.00;
2025;00063584;HMP-MČ PRAHA  4;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;731716.80;731716.80;164311.60;
2025;00063584;HMP-MČ PRAHA  4;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;491.00;0.00;
2025;00063584;HMP-MČ PRAHA  4;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;12810.00;0.00;
2025;00063631;HMP-MČ PRAHA  5;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;498107.30;498107.30;111644.90;
2025;00063631;HMP-MČ PRAHA  5;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;212.00;0.00;
2025;00063631;HMP-MČ PRAHA  5;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;7540.00;0.00;
2025;00063703;HMP-MČ PRAHA  6;006330;4137;000033092;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;68.26;
2025;00063703;HMP-MČ PRAHA  6;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;5.22;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;659722.60;659722.60;149599.40;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;450.00;0.00;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;7883.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;4137;000014007;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;229.50;
2025;00063754;HMP-MČ PRAHA  7;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;30.52;
2025;00063754;HMP-MČ PRAHA  7;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;8000.00;8000.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;254112.90;254112.90;57310.20;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1849.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;14108.00;0.00;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;687222.00;687222.00;216118.30;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;350.00;0.00;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;14304.00;0.00;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;335617.20;335617.20;76003.40;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;939.00;0.00;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;363.00;0.00;
2025;00063941;HMP-MČ PRAHA 10;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;617037.70;617037.70;139905.70;
2025;00063941;HMP-MČ PRAHA 10;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;127.00;0.00;
2025;00063941;HMP-MČ PRAHA 10;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;27333.00;0.00;
2025;00231126;HMP-MČ PRAHA 11;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;21650.00;21650.00;0.00;
2025;00231126;HMP-MČ PRAHA 11;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;465106.80;465106.80;106350.80;
2025;00231126;HMP-MČ PRAHA 11;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;350.00;0.00;
2025;00231151;HMP-MČ PRAHA 12;006330;4137;000013015;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;0.04;
2025;00231151;HMP-MČ PRAHA 12;006330;4137;000014007;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;29.60;
2025;00231151;HMP-MČ PRAHA 12;006330;4137;000098193;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;640.53;
2025;00231151;HMP-MČ PRAHA 12;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;14.37;
2025;00231151;HMP-MČ PRAHA 12;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;18000.00;18000.00;0.00;
2025;00231151;HMP-MČ PRAHA 12;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;388625.30;388625.30;88772.10;
2025;00231151;HMP-MČ PRAHA 12;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1780.00;0.00;
2025;00231151;HMP-MČ PRAHA 12;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;8542.00;0.00;
2025;00241687;HMP-MČ PRAHA 13;006330;4137;000013010;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;153.71;
2025;00241687;HMP-MČ PRAHA 13;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;80.86;
2025;00241687;HMP-MČ PRAHA 13;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;409608.10;409608.10;93906.00;
2025;00241687;HMP-MČ PRAHA 13;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;265.00;0.00;
2025;00241687;HMP-MČ PRAHA 13;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;220.00;0.00;
2025;00231312;HMP-MČ PRAHA 14;006330;4137;000033092;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;181.19;
2025;00231312;HMP-MČ PRAHA 14;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;8937.10;8937.10;0.00;
2025;00231312;HMP-MČ PRAHA 14;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;294612.30;294612.30;67235.70;
2025;00231312;HMP-MČ PRAHA 14;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;951.00;0.00;
2025;00231355;HMP-MČ PRAHA 15;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;164.67;
2025;00231355;HMP-MČ PRAHA 15;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;216770.60;216770.60;47723.60;
2025;00231355;HMP-MČ PRAHA 15;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;8149.00;0.00;
2025;00241598;HMP-MČ PRAHA 16;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;85142.60;85142.60;17529.80;
2025;00241598;HMP-MČ PRAHA 16;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;11812.50;0.00;
2025;00241598;HMP-MČ PRAHA 16;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1311.00;0.00;
2025;00231223;HMP-MČ PRAHA 17;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;9000.00;9000.00;0.00;
2025;00231223;HMP-MČ PRAHA 17;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;136911.70;136911.70;30459.20;
2025;00231223;HMP-MČ PRAHA 17;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;42.00;0.00;
2025;00231223;HMP-MČ PRAHA 17;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;2888.00;0.00;
2025;00231321;HMP-MČ PRAHA 18;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;9750.00;9750.00;0.00;
2025;00231321;HMP-MČ PRAHA 18;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;141931.50;141931.50;31221.60;
2025;00231304;HMP-MČ PRAHA 19;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;66329.40;66329.40;14594.70;
2025;00240192;HMP-MČ PRAHA 20;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;133239.40;133239.40;30795.20;
2025;00240192;HMP-MČ PRAHA 20;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;9591.00;0.00;
2025;00240192;HMP-MČ PRAHA 20;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;958.00;0.00;
